track_name,artist_name,streams,danceability_pct,energy_pct
House Of Memories,Panic! At The Disco,582863434,51,82
Mon Amour - Remix,"Aitana, zzoilo",578207856,75,76
Rich Flex,"Drake, 21 Savage",573633020,56,52
Atlantis,Seafret,571386359,40,48
Angels Like You,Miley Cyrus,570515054,67,64
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",566954746,77,79
Still Don't Know My Name,Labrinth,563902868,31,63
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",560222750,71,61
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",556585270,46,64
Formula,Labrinth,554875730,57,66
La Bebe - Remix,"Peso Pluma, Yng Lvcas",553634067,81,48
Pink Venom,BLACKPINK,551305895,80,69
Envolver,Anitta,546191065,81,73
Es un Secreto,Plan B,540654286,84,77
One Right Now (with The Weeknd),"The Weeknd, Post Malone",539595276,68,78
La Jumpa,"Arcangel, Bad Bunny",538115192,71,70
Escapism.,"RAYE, 070 Shake",532336353,54,74
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",530511203,77,47
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",528544703,74,66
Yo Voy (feat. Daddy Yankee),Zion & Lennox,527033089,81,70
Feliz Navidad,Josï¿½ï¿½ Felic,520034544,50,82
Die For You - Remix,"Ariana Grande, The Weeknd",518745108,53,53
Get Into It (Yuh),Doja Cat,516784627,91,66
Sobrio,Maluma,513643924,76,77
Tacones Rojos,Sebastian Yatra,510876816,75,86
Sky,Playboi Carti,506778838,79,91
un x100to,"Bad Bunny, Grupo Frontera",505671438,57,72
Made You Look,Meghan Trainor,502574952,84,53
Light Switch,Charlie Puth,500340342,69,63
Ain't Shit,Doja Cat,499710590,86,49
Swim,Chase Atlantic,498960285,67,54
Miss You,"Robin Schulz, Oliver Tree",497225336,59,74
Cupid - Twin Ver.,Fifty Fifty,496795686,78,59
Boyfriend,Dove Cameron,496311364,35,61
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",489945871,80,60
Lavender Haze,Taylor Swift,488386797,73,44
Underneath the Tree,Kelly Clarkson,485285717,51,81
Doja,Central Cee,482257456,91,57
Shut Down,BLACKPINK,482175240,82,69
Do They Know It's Christmas? - 1984 Version,Band Aid,481697415,60,57
"Sex, Drugs, Etc.",Beach Weather,480507035,57,84
La Corriente,"Tony Dize, Bad Bunny",479655659,66,79
LA INOCENTE,"Feid, Mora",477033549,76,79
Holly Jolly Christmas,Michael Bublï¿,476244795,65,47
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",473248298,60,32
LOKERA,"Brray, Rauw Alejandro, Lyanno",471819764,83,83
Mount Everest,Labrinth,467727006,46,43
Lovers Rock,TV Girl,466231982,56,87
Oh My God,Adele,466214729,53,73
Cï¿½ï¿½,Rauw Alejandro,465959382,77,63
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",463564958,77,73
Ferrari,"James Hype, Miggy Dela Rosa",462791599,84,69
Despuï¿½ï¿½s de la P,Bad Bunny,461558540,56,90
NEW MAGIC WAND,"Tyler, The Creator",461437791,62,73
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",460492795,33,61
Normal,Feid,459276435,71,56
Just Wanna Rock,Lil Uzi Vert,457184829,49,55
Something in the Orange,Zach Bryan,449701773,59,38
Murder In My Mind,Kordhell,448843705,71,97
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,448500832,80,60
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,446390129,45,24
Me and Your Mama,Childish Gambino,445590495,56,45
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",436695353,73,85
PRC,"Natanael Cano, Peso Pluma",436027885,78,83
Midnight Rain,Taylor Swift,433356509,64,37
Take My Breath,The Weeknd,432702334,75,74
OMG,NewJeans,430977451,80,77
Last Night,Morgan Wallen,429829812,52,68
Driving Home for Christmas - 2019 Remaster,Chris Rea,429504768,51,58
Super Freaky Girl,Nicki Minaj,428685680,95,89
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",427486004,79,84
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",426204830,37,67
Thunder,"Prezioso, Gabry Ponte, LUM!X",422691058,67,90
Fuera del mercado,Danny Ocean,421365166,45,67
Notion,The Rare Occasions,421135627,31,88
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",421040617,72,68
Un Ratito,Bad Bunny,417230415,79,55
The Color Violet,Tory Lanez,415932686,65,53
Happier Than Ever - Edit,Billie Eilish,412795151,45,57
Those Eyes,New West,411747614,60,35
Angel Baby,Troye Sivan,408843328,56,57
Shut up My Moms Calling,Hotel Ugly,405136812,48,41
No Se Va,Grupo Frontera,404887295,59,53
Sleigh Ride,The Ronettes,404664135,53,77
Karma,Taylor Swift,404562836,64,62
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,403939487,75,58
Un Coco,Bad Bunny,403231558,84,69
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,403097450,60,76
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",401036314,72,59
Snooze,SZA,399686758,56,55
Ditto,NewJeans,397582059,81,64
A Holly Jolly Christmas - Single Version,Burl Ives,395591396,67,36
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",395591396,23,25
Jordan,Ryan Castro,394030335,80,68
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",393230256,79,70
Is There Someone Else?,The Weeknd,391251368,70,58
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,389771964,36,15
Mary On A Cross,Ghost,387080183,47,90
Belly Dancer,"BYOR, Imanbek",383835984,85,80
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",383550148,63,62
In The Stars,Benson Boone,382199619,36,54
Punto G,Quevedo,381161027,75,76
Monotonï¿½,"Ozuna, Shakira",380726517,87,70
Selfish,PnB Rock,380319238,64,60
Praise God,Kanye West,376333030,80,55
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",374706940,77,30
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",374191487,66,82
People,Libianca,373199958,59,42
Bloody Mary,Lady Gaga,372476382,59,65
Alien Blues,Vundabar,370068639,47,76
You Proof,Morgan Wallen,367814306,73,85
Bebe Dame,"Fuerza Regida, Grupo Frontera",367316268,54,60
"Kesariya (From Brahmastra"""")""""","Pritam, Arijit Singh, Amitabh Bhattacharya",366599607,58,57
Matilda,Harry Styles,366214458,51,29
Hype Boy,NewJeans,363472647,59,94
Acapulco,Jason Derulo,363467642,77,79
Like Crazy,Jimin,363369738,63,73
Vista Al Mar,Quevedo,362361576,76,56
BESO,"Rauw Alejandro, ROSALï¿½",357925728,77,64
METAMORPHOSIS,INTERWORLD,357580552,59,64
I Hate U,SZA,356709897,54,39
Ley Seca,"Anuel Aa, Jhay Cortez",355219175,76,84
BREAK MY SOUL,Beyoncï¿,354614964,70,88
El Azul,"Junior H, Peso Pluma",354495408,56,65
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",354065229,86,53
Merry Christmas Everyone,Shakin' Stevens,351636786,72,87
